Time (s),Heart Rate (BPM),Frame Rate (FPS)
4.33,74.4,35.14
5.17,82.7,35.14
6.11,70.9,35.14
6.95,77.5,35.14
7.83,82.7,35.14
8.68,74.4,35.14
9.57,78.9,35.14
10.41,72.3,35.14
11.30,76.3,35.14
12.15,70.9,35.14
13.04,74.4,35.14
13.88,69.8,35.14
14.77,73.0,35.14
15.61,68.9,35.14
16.51,71.8,35.14
17.35,68.2,35.14
18.25,66.1,35.14
19.09,66.1,35.14
19.98,66.1,35.14
20.82,54.1,35.14
21.71,54.1,35.14
22.54,54.1,35.14
23.42,54.1,35.14
24.26,54.1,35.14
25.15,54.1,35.14
26.00,54.1,35.14
26.88,54.1,35.14
27.73,54.1,35.14
28.61,54.1,35.14
29.46,54.1,35.14
30.36,54.1,35.14
31.20,54.1,35.14
32.09,66.1,35.14
32.94,60.1,35.14
33.83,60.1,35.14
34.68,60.1,35.14
35.56,60.1,35.14
36.40,60.1,35.14
37.31,60.1,35.14
38.16,60.1,35.14
39.07,60.1,35.14
39.91,60.1,35.14
40.81,84.1,35.14
41.67,84.1,35.14
42.56,84.1,35.14
43.40,84.1,35.14
44.29,54.1,35.14
45.13,54.1,35.14
46.02,54.1,35.14
46.87,54.1,35.14
47.77,84.1,35.14
48.62,84.1,35.14
49.51,66.1,35.14
50.35,66.1,35.14
51.24,66.1,35.14
52.07,66.1,35.14
52.95,66.1,35.14
53.79,66.1,35.14
54.68,66.1,35.14
55.53,60.1,35.14
56.41,60.1,35.14
57.25,60.1,35.14
58.14,78.1,35.14
58.97,78.1,35.14
59.86,78.1,35.14
60.70,78.1,35.14
61.58,78.1,35.14
62.42,78.1,35.14
63.30,78.1,35.14
64.16,78.1,35.14
65.04,78.1,35.14
65.88,78.1,35.14
66.76,78.1,35.14
67.59,78.1,35.14
68.50,72.1,35.14
69.34,72.1,35.14
70.22,72.1,35.14
71.06,72.1,35.14
71.96,72.1,35.14
72.81,72.1,35.14
73.69,72.1,35.14
74.54,90.1,35.14
75.42,90.1,35.14
76.25,90.1,35.14
77.14,90.1,35.14
77.98,72.1,35.14
78.87,72.1,35.14
79.71,72.1,35.14
80.59,54.1,35.14
81.43,54.1,35.14
82.32,54.1,35.14
83.15,72.1,35.14
84.03,72.1,35.14
84.86,72.1,35.14
85.74,72.1,35.14
86.59,72.1,35.14
87.47,72.1,35.14
88.32,72.1,35.14
89.21,72.1,35.14
90.06,72.1,35.14
90.94,66.1,35.14
91.78,66.1,35.14
92.66,66.1,35.14
93.51,66.1,35.14
94.39,66.1,35.14
95.24,66.1,35.14
96.12,66.1,35.14
96.96,66.1,35.14
97.83,66.1,35.14
98.67,66.1,35.14
99.55,66.1,35.14
100.40,66.1,35.14
101.30,66.1,35.14
102.14,72.1,35.14
103.02,72.1,35.14
103.86,72.1,35.14
104.75,72.1,35.14
105.60,72.1,35.14
