Time (s),Heart Rate (BPM),Frame Rate (FPS)
8.33,152.1,35.14
9.54,111.0,35.14
10.99,160.9,35.14
12.21,156.7,35.14
13.46,153.3,35.14
14.67,150.6,35.14
15.92,148.3,35.14
17.13,146.4,35.14
18.38,144.8,35.14
19.57,101.2,35.14
20.80,102.7,35.14
22.01,103.9,35.14
23.27,98.1,35.14
24.47,99.4,35.14
25.73,100.7,35.14
26.92,102.1,35.14
28.18,96.1,35.14
29.39,54.1,35.14
30.64,54.1,35.14
31.83,54.1,35.14
33.06,54.1,35.14
34.25,54.1,35.14
35.50,54.1,35.14
36.71,54.1,35.14
37.96,54.1,35.14
39.16,54.1,35.14
40.41,54.1,35.14
41.61,54.1,35.14
42.87,54.1,35.14
44.08,54.1,35.14
45.34,54.1,35.14
46.55,54.1,35.14
47.80,54.1,35.14
49.00,54.1,35.14
50.24,54.1,35.14
51.44,66.1,35.14
52.67,66.1,35.14
53.89,66.1,35.14
55.16,84.1,35.14
56.36,84.1,35.14
57.60,84.1,35.14
58.80,72.1,35.14
60.04,72.1,35.14
61.24,72.1,35.14
62.48,72.1,35.14
63.69,168.2,35.14
64.94,168.2,35.14
66.15,90.1,35.14
67.41,90.1,35.14
68.61,66.1,35.14
69.85,66.1,35.14
71.05,66.1,35.14
72.29,66.1,35.14
73.48,66.1,35.14
74.70,66.1,35.14
75.88,66.1,35.14
77.11,66.1,35.14
78.30,60.1,35.14
79.55,60.1,35.14
80.74,60.1,35.14
81.98,60.1,35.14
83.18,60.1,35.14
84.43,78.1,35.14
85.63,78.1,35.14
86.87,78.1,35.14
88.06,78.1,35.14
89.30,78.1,35.14
90.51,78.1,35.14
91.74,78.1,35.14
92.93,78.1,35.14
94.16,102.1,35.14
95.35,102.1,35.14
96.58,90.1,35.14
97.77,90.1,35.14
99.01,90.1,35.14
100.19,90.1,35.14
101.45,90.1,35.14
102.64,90.1,35.14
103.89,90.1,35.14
105.10,84.1,35.14
106.34,84.1,35.14
107.55,84.1,35.14
108.79,84.1,35.14
109.99,102.1,35.14
111.23,102.1,35.14
112.42,108.1,35.14
113.67,108.1,35.14
114.87,108.1,35.14
116.11,108.1,35.14
117.29,72.1,35.14
118.53,66.1,35.14
119.72,66.1,35.14
120.95,66.1,35.14
122.14,60.1,35.14
123.39,60.1,35.14
124.61,60.1,35.14
125.87,60.1,35.14
127.09,60.1,35.14
128.33,72.1,35.14
129.54,54.1,35.14
130.77,54.1,35.14
131.97,54.1,35.14
133.20,54.1,35.14
134.38,54.1,35.14
135.62,60.1,35.14
136.80,60.1,35.14
138.03,60.1,35.14
139.21,60.1,35.14
140.44,60.1,35.14
141.63,66.1,35.14
142.88,120.1,35.14
144.07,120.1,35.14
145.30,120.1,35.14
146.49,120.1,35.14
147.73,54.1,35.14
148.92,114.1,35.14
150.17,114.1,35.14
151.36,114.1,35.14
152.60,84.1,35.14
153.78,54.1,35.14
155.01,54.1,35.14
156.20,54.1,35.14
157.45,54.1,35.14
158.65,54.1,35.14
159.89,54.1,35.14
161.09,54.1,35.14
162.32,60.1,35.14
163.53,60.1,35.14
164.77,60.1,35.14
165.96,66.1,35.14
167.19,66.1,35.14
168.39,66.1,35.14
169.62,66.1,35.14
170.80,66.1,35.14
172.03,66.1,35.14
173.22,66.1,35.14
174.44,60.1,35.14
175.63,60.1,35.14
176.87,60.1,35.14
178.05,60.1,35.14
179.28,60.1,35.14
180.45,72.1,35.14
181.67,72.1,35.14
182.85,78.1,35.14
184.08,78.1,35.14
185.28,72.1,35.14
186.53,54.1,35.14
187.73,54.1,35.14
188.97,54.1,35.14
190.17,54.1,35.14
191.39,54.1,35.14
192.57,60.1,35.14
193.81,60.1,35.14
195.01,60.1,35.14
196.24,54.1,35.14
197.41,54.1,35.14
198.64,54.1,35.14
199.82,54.1,35.14
201.05,54.1,35.14
202.24,54.1,35.14
203.47,54.1,35.14
204.65,60.1,35.14
205.88,66.1,35.14
207.07,66.1,35.14
208.30,66.1,35.14
209.48,66.1,35.14
210.72,66.1,35.14
211.91,66.1,35.14
213.14,66.1,35.14
214.33,72.1,35.14
215.55,72.1,35.14
216.74,72.1,35.14
217.97,72.1,35.14
219.17,72.1,35.14
220.39,66.1,35.14
221.57,66.1,35.14
222.80,66.1,35.14
224.00,66.1,35.14
225.24,66.1,35.14
226.43,66.1,35.14
227.68,66.1,35.14
228.87,66.1,35.14
230.09,60.1,35.14
231.25,60.1,35.14
232.46,60.1,35.14
233.63,60.1,35.14
234.84,60.1,35.14
236.01,60.1,35.14
237.24,60.1,35.14
238.44,60.1,35.14
239.70,60.1,35.14
240.89,60.1,35.14
242.11,60.1,35.14
243.30,60.1,35.14
244.53,60.1,35.14
245.71,60.1,35.14
246.94,60.1,35.14
248.14,90.1,35.14
249.38,84.1,35.14
250.58,84.1,35.14
251.86,54.1,35.14
253.07,54.1,35.14
254.31,54.1,35.14
255.51,54.1,35.14
256.77,72.1,35.14
257.99,72.1,35.14
259.25,72.1,35.14
260.46,66.1,35.14
261.74,66.1,35.14
262.96,66.1,35.14
264.23,72.1,35.14
265.45,72.1,35.14
266.70,72.1,35.14
267.92,78.1,35.14
269.18,78.1,35.14
270.40,78.1,35.14
271.64,78.1,35.14
272.83,78.1,35.14
274.08,78.1,35.14
275.28,96.1,35.14
276.52,96.1,35.14
277.70,96.1,35.14
278.95,96.1,35.14
