Time (s),Heart Rate (BPM),Frame Rate (FPS)
6.17,148.8,35.14
7.37,103.3,35.14
8.90,106.3,35.14
10.10,93.0,35.14
11.35,96.5,35.14
12.55,62.0,35.14
13.79,101.5,35.14
15.00,62.0,35.14
16.24,95.4,35.14
17.44,97.4,35.14
18.68,99.2,35.14
19.88,93.0,35.14
21.12,102.1,35.14
22.32,89.6,35.14
23.57,91.4,35.14
24.77,86.8,35.14
26.00,84.1,35.14
27.21,84.1,35.14
28.44,84.1,35.14
29.64,84.1,35.14
30.90,84.1,35.14
32.10,84.1,35.14
33.35,90.1,35.14
34.58,90.1,35.14
35.95,90.1,35.14
37.19,90.1,35.14
38.47,90.1,35.14
39.71,84.1,35.14
40.98,84.1,35.14
42.20,84.1,35.14
43.46,84.1,35.14
44.68,84.1,35.14
45.95,84.1,35.14
47.18,84.1,35.14
48.46,84.1,35.14
49.67,84.1,35.14
50.94,84.1,35.14
52.16,84.1,35.14
53.43,84.1,35.14
54.68,84.1,35.14
55.97,84.1,35.14
57.22,84.1,35.14
58.49,90.1,35.14
59.71,90.1,35.14
60.97,90.1,35.14
62.19,90.1,35.14
63.47,90.1,35.14
64.69,90.1,35.14
65.96,90.1,35.14
67.18,96.1,35.14
68.43,96.1,35.14
69.62,96.1,35.14
70.88,96.1,35.14
72.06,90.1,35.14
73.28,60.1,35.14
74.46,60.1,35.14
75.67,60.1,35.14
76.84,60.1,35.14
78.05,60.1,35.14
79.22,54.1,35.14
80.43,54.1,35.14
81.61,54.1,35.14
82.83,54.1,35.14
84.00,54.1,35.14
85.22,54.1,35.14
86.40,54.1,35.14
87.60,54.1,35.14
88.78,120.1,35.14
90.00,84.1,35.14
91.17,84.1,35.14
92.41,78.1,35.14
93.61,78.1,35.14
94.85,78.1,35.14
96.05,78.1,35.14
97.29,78.1,35.14
98.51,78.1,35.14
99.76,54.1,35.14
100.97,54.1,35.14
102.23,54.1,35.14
103.44,54.1,35.14
104.72,54.1,35.14
105.94,54.1,35.14
107.18,54.1,35.14
108.39,54.1,35.14
109.66,54.1,35.14
110.88,54.1,35.14
112.12,54.1,35.14
113.32,54.1,35.14
114.57,54.1,35.14
115.76,54.1,35.14
117.00,54.1,35.14
118.20,54.1,35.14
119.44,54.1,35.14
120.65,54.1,35.14
121.89,84.1,35.14
123.08,84.1,35.14
124.31,138.1,35.14
125.51,138.1,35.14
126.75,138.1,35.14
127.94,84.1,35.14
129.18,90.1,35.14
130.40,90.1,35.14
131.66,90.1,35.14
132.87,90.1,35.14
134.11,90.1,35.14
135.31,90.1,35.14
136.55,90.1,35.14
137.75,90.1,35.14
138.99,66.1,35.14
140.19,66.1,35.14
141.44,72.1,35.14
142.63,72.1,35.14
143.87,72.1,35.14
145.06,72.1,35.14
146.29,72.1,35.14
147.47,72.1,35.14
148.70,72.1,35.14
149.89,54.1,35.14
151.13,54.1,35.14
152.32,54.1,35.14
153.58,54.1,35.14
154.76,54.1,35.14
156.02,54.1,35.14
157.24,54.1,35.14
158.52,54.1,35.14
159.73,54.1,35.14
160.98,54.1,35.14
162.19,54.1,35.14
163.44,54.1,35.14
164.64,54.1,35.14
165.88,54.1,35.14
167.09,54.1,35.14
168.33,78.1,35.14
169.52,78.1,35.14
170.76,84.1,35.14
171.96,84.1,35.14
173.20,84.1,35.14
174.40,84.1,35.14
175.65,90.1,35.14
176.85,90.1,35.14
178.11,54.1,35.14
179.31,54.1,35.14
180.55,54.1,35.14
181.75,54.1,35.14
183.00,54.1,35.14
184.22,54.1,35.14
185.48,60.1,35.14
186.68,60.1,35.14
187.92,60.1,35.14
189.13,60.1,35.14
190.38,84.1,35.14
191.58,90.1,35.14
192.83,90.1,35.14
194.04,90.1,35.14
195.28,90.1,35.14
196.48,90.1,35.14
197.75,90.1,35.14
198.94,90.1,35.14
200.18,84.1,35.14
201.40,84.1,35.14
202.64,84.1,35.14
203.86,84.1,35.14
205.10,84.1,35.14
