Time (s),Heart Rate (BPM),Frame Rate (FPS)
11.67,124.0,35.14
13.08,82.7,35.14
15.00,86.8,35.14
16.41,90.2,35.14
17.88,93.0,35.14
19.30,95.4,35.14
20.74,88.6,35.14
22.14,90.9,35.14
23.58,93.0,35.14
24.98,87.5,35.14
26.43,89.6,35.14
27.82,91.4,35.14
29.24,86.8,35.14
30.67,90.1,35.14
32.10,84.1,35.14
33.50,84.1,35.14
34.93,84.1,35.14
36.33,84.1,35.14
37.76,84.1,35.14
39.16,84.1,35.14
40.63,84.1,35.14
42.03,84.1,35.14
43.47,84.1,35.14
44.86,84.1,35.14
46.29,84.1,35.14
47.68,84.1,35.14
49.11,84.1,35.14
50.50,84.1,35.14
51.95,84.1,35.14
53.34,84.1,35.14
54.77,84.1,35.14
56.16,84.1,35.14
57.59,84.1,35.14
58.97,84.1,35.14
60.40,84.1,35.14
61.79,84.1,35.14
63.22,84.1,35.14
64.61,84.1,35.14
66.05,84.1,35.14
67.44,84.1,35.14
68.87,84.1,35.14
70.25,90.1,35.14
71.70,90.1,35.14
73.08,90.1,35.14
74.51,90.1,35.14
75.90,90.1,35.14
77.34,66.1,35.14
78.75,66.1,35.14
80.18,78.1,35.14
81.56,84.1,35.14
82.99,84.1,35.14
84.36,84.1,35.14
85.80,84.1,35.14
87.19,84.1,35.14
88.62,84.1,35.14
90.01,84.1,35.14
91.45,84.1,35.14
92.83,84.1,35.14
94.26,84.1,35.14
95.64,84.1,35.14
97.05,84.1,35.14
98.44,84.1,35.14
99.86,84.1,35.14
101.24,84.1,35.14
102.66,84.1,35.14
104.03,84.1,35.14
105.46,84.1,35.14
106.85,96.1,35.14
108.28,54.1,35.14
109.67,54.1,35.14
111.12,54.1,35.14
112.51,54.1,35.14
113.94,54.1,35.14
115.32,54.1,35.14
116.75,54.1,35.14
118.12,54.1,35.14
119.55,78.1,35.14
120.93,78.1,35.14
122.35,78.1,35.14
123.72,78.1,35.14
125.18,78.1,35.14
126.58,78.1,35.14
128.01,84.1,35.14
129.39,84.1,35.14
130.81,84.1,35.14
132.19,84.1,35.14
133.61,84.1,35.14
134.99,90.1,35.14
136.41,90.1,35.14
137.79,72.1,35.14
139.21,72.1,35.14
140.59,72.1,35.14
142.02,96.1,35.14
143.39,96.1,35.14
144.81,90.1,35.14
146.19,90.1,35.14
147.62,90.1,35.14
149.00,90.1,35.14
150.42,90.1,35.14
151.80,72.1,35.14
153.24,90.1,35.14
154.64,90.1,35.14
156.12,54.1,35.14
157.50,54.1,35.14
158.92,54.1,35.14
160.30,54.1,35.14
161.75,54.1,35.14
163.12,54.1,35.14
164.54,60.1,35.14
165.92,60.1,35.14
167.35,60.1,35.14
168.72,60.1,35.14
170.15,60.1,35.14
171.53,60.1,35.14
172.95,60.1,35.14
174.32,60.1,35.14
175.77,60.1,35.14
177.14,60.1,35.14
178.56,60.1,35.14
179.94,60.1,35.14
181.36,54.1,35.14
