Time (s),Heart Rate (BPM),Frame Rate (FPS)
11.78,124.0,35.14
13.30,82.7,35.14
17.78,86.8,35.14
19.32,90.2,35.14
21.12,93.0,35.14
22.63,95.4,35.14
24.22,88.6,35.14
25.74,90.9,35.14
27.28,93.0,35.14
28.69,87.5,35.14
30.15,89.6,35.14
31.55,91.4,35.14
32.98,86.8,35.14
34.41,90.1,35.14
35.86,84.1,35.14
37.27,84.1,35.14
38.69,84.1,35.14
40.07,84.1,35.14
41.50,84.1,35.14
42.88,84.1,35.14
44.30,84.1,35.14
45.69,84.1,35.14
47.13,84.1,35.14
48.51,84.1,35.14
49.94,84.1,35.14
51.32,84.1,35.14
52.76,84.1,35.14
54.15,84.1,35.14
55.58,84.1,35.14
56.97,84.1,35.14
58.40,84.1,35.14
59.78,84.1,35.14
61.21,84.1,35.14
62.60,84.1,35.14
64.02,84.1,35.14
65.42,84.1,35.14
66.84,84.1,35.14
68.23,84.1,35.14
69.66,84.1,35.14
71.05,84.1,35.14
72.59,84.1,35.14
73.97,90.1,35.14
75.40,90.1,35.14
76.78,90.1,35.14
78.21,90.1,35.14
79.60,90.1,35.14
81.03,66.1,35.14
82.43,66.1,35.14
83.87,78.1,35.14
85.25,84.1,35.14
86.66,84.1,35.14
88.03,84.1,35.14
89.46,84.1,35.14
90.84,84.1,35.14
92.27,84.1,35.14
93.68,84.1,35.14
95.12,84.1,35.14
96.51,84.1,35.14
97.93,84.1,35.14
99.31,84.1,35.14
100.73,84.1,35.14
102.13,84.1,35.14
103.55,84.1,35.14
104.92,84.1,35.14
106.34,84.1,35.14
107.74,84.1,35.14
109.16,84.1,35.14
110.54,96.1,35.14
111.96,54.1,35.14
113.35,54.1,35.14
114.80,54.1,35.14
116.19,54.1,35.14
117.62,54.1,35.14
119.00,54.1,35.14
120.42,54.1,35.14
121.80,54.1,35.14
123.22,78.1,35.14
124.60,78.1,35.14
126.03,78.1,35.14
127.40,78.1,35.14
128.85,78.1,35.14
130.23,78.1,35.14
131.66,84.1,35.14
133.04,84.1,35.14
134.47,84.1,35.14
135.85,84.1,35.14
137.28,84.1,35.14
138.66,90.1,35.14
140.11,90.1,35.14
141.50,72.1,35.14
142.92,72.1,35.14
144.31,72.1,35.14
145.75,96.1,35.14
147.14,96.1,35.14
148.58,90.1,35.14
149.98,90.1,35.14
151.42,90.1,35.14
152.83,90.1,35.14
154.27,90.1,35.14
155.70,72.1,35.14
157.16,90.1,35.14
158.58,90.1,35.14
160.01,54.1,35.14
161.40,54.1,35.14
162.85,54.1,35.14
164.25,54.1,35.14
165.71,54.1,35.14
167.11,54.1,35.14
168.56,60.1,35.14
169.95,60.1,35.14
171.40,60.1,35.14
172.82,60.1,35.14
174.27,60.1,35.14
175.68,60.1,35.14
177.12,60.1,35.14
178.52,60.1,35.14
179.96,60.1,35.14
181.35,60.1,35.14
182.82,60.1,35.14
