Time (s),Heart Rate (BPM),Frame Rate (FPS)
6.78,99.2,35.14
8.19,103.3,35.14
10.49,106.3,35.14
11.79,93.0,35.14
13.14,96.5,35.14
14.45,99.2,35.14
15.78,90.2,35.14
17.07,93.0,35.14
18.40,95.4,35.14
19.69,88.6,35.14
21.02,90.9,35.14
22.30,93.0,35.14
23.62,87.5,35.14
24.91,89.6,35.14
26.23,91.4,35.14
27.50,86.8,35.14
28.82,90.1,35.14
30.10,84.1,35.14
31.45,84.1,35.14
32.74,84.1,35.14
34.05,84.1,35.14
35.33,84.1,35.14
36.65,84.1,35.14
37.93,84.1,35.14
39.27,90.1,35.14
40.55,90.1,35.14
41.88,84.1,35.14
43.16,84.1,35.14
44.48,84.1,35.14
45.76,84.1,35.14
47.10,84.1,35.14
48.39,84.1,35.14
49.73,84.1,35.14
51.00,84.1,35.14
52.32,84.1,35.14
53.60,84.1,35.14
54.93,84.1,35.14
56.20,84.1,35.14
57.52,84.1,35.14
58.80,84.1,35.14
60.14,84.1,35.14
61.43,84.1,35.14
62.76,84.1,35.14
64.04,84.1,35.14
65.36,84.1,35.14
66.64,84.1,35.14
67.96,90.1,35.14
69.24,72.1,35.14
70.56,72.1,35.14
71.85,72.1,35.14
73.18,72.1,35.14
74.47,72.1,35.14
75.79,72.1,35.14
77.06,66.1,35.14
78.38,66.1,35.14
79.65,66.1,35.14
80.97,66.1,35.14
82.24,66.1,35.14
83.58,66.1,35.14
84.87,66.1,35.14
86.20,66.1,35.14
87.48,66.1,35.14
88.81,66.1,35.14
90.10,66.1,35.14
91.43,60.1,35.14
92.71,60.1,35.14
94.03,60.1,35.14
95.31,60.1,35.14
96.62,60.1,35.14
97.89,60.1,35.14
99.21,60.1,35.14
100.50,60.1,35.14
101.84,60.1,35.14
103.15,60.1,35.14
104.50,60.1,35.14
105.80,60.1,35.14
107.13,60.1,35.14
108.42,60.1,35.14
109.75,66.1,35.14
111.04,66.1,35.14
112.40,66.1,35.14
113.70,72.1,35.14
115.04,72.1,35.14
116.32,72.1,35.14
117.68,72.1,35.14
118.98,72.1,35.14
120.31,72.1,35.14
121.60,72.1,35.14
122.93,108.1,35.14
124.21,108.1,35.14
125.54,108.1,35.14
126.83,108.1,35.14
128.19,102.1,35.14
129.48,102.1,35.14
130.81,102.1,35.14
132.10,96.1,35.14
133.44,96.1,35.14
134.74,90.1,35.14
136.09,90.1,35.14
137.37,90.1,35.14
138.71,90.1,35.14
140.00,90.1,35.14
141.33,90.1,35.14
142.61,72.1,35.14
143.94,72.1,35.14
145.23,72.1,35.14
146.55,72.1,35.14
147.84,72.1,35.14
149.16,78.1,35.14
150.45,78.1,35.14
151.78,78.1,35.14
153.06,78.1,35.14
154.41,78.1,35.14
155.70,78.1,35.14
157.03,78.1,35.14
158.32,78.1,35.14
159.66,60.1,35.14
160.95,96.1,35.14
162.31,66.1,35.14
163.60,66.1,35.14
164.95,66.1,35.14
166.24,66.1,35.14
167.57,66.1,35.14
168.86,108.1,35.14
170.20,108.1,35.14
171.49,108.1,35.14
172.83,54.1,35.14
174.12,54.1,35.14
175.46,84.1,35.14
176.74,84.1,35.14
178.08,90.1,35.14
179.38,90.1,35.14
180.71,90.1,35.14
182.00,54.1,35.14
183.33,54.1,35.14
184.63,54.1,35.14
185.97,54.1,35.14
187.25,54.1,35.14
188.60,54.1,35.14
189.89,54.1,35.14
191.23,54.1,35.14
192.53,54.1,35.14
193.88,54.1,35.14
195.19,54.1,35.14
