Time (s),Heart Rate (BPM),Frame Rate (FPS)
9.07,124.0,35.14
10.50,124.0,35.14
12.42,124.0,35.14
13.90,137.8,35.14
15.41,136.4,35.14
16.87,135.3,35.14
18.34,134.4,35.14
19.75,133.6,35.14
21.20,132.9,35.14
22.61,132.3,35.14
24.06,131.8,35.14
25.46,131.3,35.14
26.91,130.9,35.14
28.32,130.5,35.14
29.78,136.4,35.14
31.22,132.1,35.14
32.67,132.1,35.14
34.07,84.1,35.14
35.52,84.1,35.14
36.93,84.1,35.14
38.38,90.1,35.14
39.80,90.1,35.14
41.25,90.1,35.14
42.66,90.1,35.14
44.11,84.1,35.14
45.51,84.1,35.14
46.96,156.2,35.14
48.36,156.2,35.14
49.79,156.2,35.14
51.19,156.2,35.14
52.62,162.2,35.14
54.00,162.2,35.14
55.42,162.2,35.14
56.80,162.2,35.14
58.22,162.2,35.14
59.60,162.2,35.14
61.02,144.2,35.14
62.40,144.2,35.14
63.93,144.2,35.14
65.34,144.2,35.14
66.77,144.2,35.14
68.16,144.2,35.14
69.59,90.1,35.14
70.98,90.1,35.14
72.40,90.1,35.14
73.79,90.1,35.14
75.22,90.1,35.14
76.60,54.1,35.14
78.03,54.1,35.14
79.42,54.1,35.14
80.85,54.1,35.14
82.24,54.1,35.14
83.67,54.1,35.14
85.05,54.1,35.14
86.46,54.1,35.14
87.83,54.1,35.14
89.26,54.1,35.14
90.66,54.1,35.14
92.10,54.1,35.14
93.48,54.1,35.14
94.91,54.1,35.14
96.28,54.1,35.14
97.70,102.1,35.14
99.10,90.1,35.14
100.52,90.1,35.14
101.90,90.1,35.14
103.32,78.1,35.14
104.71,54.1,35.14
106.13,54.1,35.14
107.51,54.1,35.14
108.94,78.1,35.14
110.33,72.1,35.14
111.77,78.1,35.14
113.16,90.1,35.14
114.59,90.1,35.14
115.97,78.1,35.14
117.38,78.1,35.14
118.76,78.1,35.14
120.20,60.1,35.14
121.58,60.1,35.14
122.99,60.1,35.14
124.36,60.1,35.14
125.78,60.1,35.14
127.18,60.1,35.14
128.61,60.1,35.14
129.99,66.1,35.14
131.41,66.1,35.14
132.80,66.1,35.14
134.23,66.1,35.14
135.62,66.1,35.14
137.05,66.1,35.14
138.43,90.1,35.14
139.85,78.1,35.14
141.24,78.1,35.14
142.67,90.1,35.14
144.05,90.1,35.14
145.46,150.2,35.14
146.84,150.2,35.14
148.26,150.2,35.14
149.64,144.2,35.14
151.08,144.2,35.14
152.46,144.2,35.14
153.90,144.2,35.14
155.29,144.2,35.14
156.71,78.1,35.14
158.09,78.1,35.14
159.51,78.1,35.14
160.91,54.1,35.14
162.35,54.1,35.14
163.73,54.1,35.14
165.15,54.1,35.14
166.53,54.1,35.14
167.96,60.1,35.14
169.34,60.1,35.14
170.80,60.1,35.14
172.17,60.1,35.14
173.59,60.1,35.14
174.97,60.1,35.14
176.39,162.2,35.14
177.77,156.2,35.14
179.20,156.2,35.14
180.59,156.2,35.14
