Time (s),Heart Rate (BPM),Frame Rate (FPS)
6.66,99.2,35.14
7.96,103.3,35.14
9.61,106.3,35.14
10.92,108.5,35.14
12.26,96.5,35.14
13.55,99.2,35.14
14.88,101.5,35.14
16.18,93.0,35.14
17.51,95.4,35.14
18.79,97.4,35.14
20.12,90.9,35.14
21.40,93.0,35.14
22.72,87.5,35.14
23.99,89.6,35.14
25.32,84.9,35.14
26.60,86.8,35.14
27.93,84.1,35.14
29.22,84.1,35.14
30.56,84.1,35.14
31.85,84.1,35.14
33.18,84.1,35.14
34.46,84.1,35.14
35.78,84.1,35.14
37.07,84.1,35.14
38.40,84.1,35.14
39.69,84.1,35.14
41.02,84.1,35.14
42.30,84.1,35.14
43.62,84.1,35.14
44.90,84.1,35.14
46.23,72.1,35.14
47.53,72.1,35.14
48.86,72.1,35.14
50.15,60.1,35.14
51.47,60.1,35.14
52.75,60.1,35.14
54.06,60.1,35.14
55.34,60.1,35.14
56.68,60.1,35.14
57.96,60.1,35.14
59.28,84.1,35.14
60.57,84.1,35.14
61.89,84.1,35.14
63.16,84.1,35.14
64.49,90.1,35.14
65.77,90.1,35.14
67.10,90.1,35.14
68.38,90.1,35.14
69.71,90.1,35.14
70.99,66.1,35.14
72.34,66.1,35.14
73.62,84.1,35.14
74.94,84.1,35.14
76.21,84.1,35.14
77.53,84.1,35.14
78.81,84.1,35.14
80.13,54.1,35.14
81.40,54.1,35.14
82.75,54.1,35.14
84.04,54.1,35.14
85.37,54.1,35.14
86.65,54.1,35.14
87.98,54.1,35.14
89.26,54.1,35.14
90.59,90.1,35.14
91.87,90.1,35.14
93.19,90.1,35.14
94.46,90.1,35.14
95.78,60.1,35.14
97.05,60.1,35.14
98.36,96.1,35.14
99.64,96.1,35.14
100.97,96.1,35.14
102.26,90.1,35.14
103.61,90.1,35.14
104.91,90.1,35.14
106.25,90.1,35.14
107.54,90.1,35.14
108.90,90.1,35.14
110.18,90.1,35.14
111.51,90.1,35.14
112.80,90.1,35.14
114.12,90.1,35.14
115.42,90.1,35.14
116.75,90.1,35.14
118.03,90.1,35.14
119.36,90.1,35.14
120.65,90.1,35.14
121.98,90.1,35.14
123.27,90.1,35.14
124.60,90.1,35.14
125.91,90.1,35.14
127.26,90.1,35.14
128.55,90.1,35.14
129.88,96.1,35.14
131.18,96.1,35.14
132.50,78.1,35.14
133.79,78.1,35.14
135.19,78.1,35.14
136.52,78.1,35.14
137.89,78.1,35.14
139.19,84.1,35.14
140.53,84.1,35.14
141.84,84.1,35.14
143.18,84.1,35.14
144.46,84.1,35.14
145.79,84.1,35.14
147.08,54.1,35.14
148.41,54.1,35.14
149.72,60.1,35.14
151.05,60.1,35.14
152.33,84.1,35.14
153.66,84.1,35.14
154.96,84.1,35.14
156.28,90.1,35.14
157.57,90.1,35.14
158.92,54.1,35.14
160.21,54.1,35.14
161.54,54.1,35.14
162.82,54.1,35.14
164.16,54.1,35.14
165.45,54.1,35.14
166.79,54.1,35.14
168.08,54.1,35.14
169.41,54.1,35.14
170.69,54.1,35.14
172.02,54.1,35.14
173.30,54.1,35.14
174.64,54.1,35.14
175.92,54.1,35.14
177.24,54.1,35.14
178.55,54.1,35.14
179.88,54.1,35.14
181.16,54.1,35.14
182.50,54.1,35.14
183.79,102.1,35.14
185.13,102.1,35.14
186.41,102.1,35.14
187.74,102.1,35.14
189.02,102.1,35.14
190.35,96.1,35.14
191.63,96.1,35.14
192.95,96.1,35.14
194.23,96.1,35.14
